phecode,aou,mgi,ukb,plus20
CV_438.41,519,525,250,1
CV_438.42,220,110,,0
CV_438.43,141,50,171,1
CV_438.5,124,74,,0
CV_438.6,2145,863,717,1
CV_438.7,577,163,214,1
CV_438.8,65,54,40,1
CV_438.9,88,17,20,0
CV_439,40586,10867,11888,1
CV_440,22552,11665,16965,1
CV_440.1,16115,8859,8175,1
CV_440.11,9206,5569,50,1
CV_440.12,606,477,355,1
CV_440.13,4712,1400,7155,1
CV_440.14,130,140,32,1
CV_440.15,163,99,21,1
CV_440.2,4234,2231,2961,1
CV_440.21,1672,552,319,1
CV_440.22,1032,327,585,1
CV_440.3,6988,3943,7496,1
CV_440.4,197,45,,0
CV_441,1429,831,388,1
CV_441.1,900,555,131,1
CV_441.2,107,79,15,0
CV_441.3,148,97,,0
CV_441.4,2,7,,0
CV_441.5,194,56,167,1
CV_442,1856,595,219,1
CV_443,5323,2523,2192,1
CV_443.1,2160,928,1582,1
CV_443.2,328,181,15,0
CV_443.3,185,73,21,1
CV_443.4,19,7,3,0
CV_444,20650,8540,17966,1
CV_444.1,14973,5686,17660,1
CV_444.11,11728,4483,15927,1
CV_444.12,197,65,268,1
CV_444.13,1594,747,1221,1
CV_444.14,93,40,35,1
CV_444.15,1474,445,385,1
CV_444.5,10494,5811,620,1
CV_444.6,1032,361,,0
CV_446,20707,9259,13610,1
CV_446.2,7060,2723,4532,1
CV_447,814,210,2035,1
CV_448,14930,5681,8087,1
CV_448.1,3799,1481,2726,1
CV_448.2,85,37,,0
CV_448.9,11011,4186,5441,1
CV_449,7023,3845,861,1
CV_452,2968,1653,151,1
DE_660,70259,19331,18627,1
DE_660.1,34377,8341,863,1
DE_660.11,3801,1343,121,1
DE_660.12,29632,6772,615,1
DE_660.121,714,154,1,0
DE_660.122,18641,4368,204,1
DE_660.123,8996,1836,286,1
DE_660.124,4022,1069,21,1
DE_660.13,2243,592,11,0
DE_660.2,3058,895,273,1
DE_660.21,2533,734,68,1
DE_660.22,7,2,2,0
DE_660.23,183,60,175,1
DE_660.4,3698,843,,0
DE_660.6,43699,12034,16216,1
DE_661,513,112,13,0
DE_662,8738,3214,619,1
DE_663,902,247,298,1
DE_663.1,104,19,57,0
DE_663.11,53,4,21,0
DE_663.12,11,,6,0
DE_663.2,187,73,153,1
DE_663.3,101,37,49,1
DE_663.4,18,6,7,0
DE_663.6,403,98,28,1
DE_664,9527,2993,5370,1
DE_664.1,1293,397,1006,1
DE_664.2,1036,229,101,1
DE_664.3,120,28,11,0
DE_664.4,7253,2366,4297,1
DE_664.41,823,109,279,1
DE_664.42,1583,514,1278,1
DE_665,394,114,118,1
DE_666,9937,2671,693,1
